DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_Zone_0001_0064	/DEF/DI/Closseur25614261851258/73	1	2	64	73	DI FERION R+2 BULLE B DEPOT	189	40
DI_Zone_0001_0065	/DEF/DI/Closseur25614261851258/72	1	2	65	72	DI FERION R+2 BULLE B CIRCULATION	190	39
DI_Zone_0001_0066	/DEF/DI/Closseur25614261851258/72	1	2	66	72	DI FERION R+2 BULLE B CIRCULATION	191	39
DI_Zone_0001_0067	/DEF/DI/Closseur25614261851258/72	1	2	67	72	DI FERION R+2 BULLE B CIRCULATION	192	39
DI_Zone_0001_0068	/DEF/DI/Closseur25614261851258/77	1	2	68	77	DM FERION R+2 BULLE B CIRCULATION	193	35
DI_Zone_0001_0069	/DEF/DI/Closseur25614261851258/72	1	2	69	72	DI FERION R+2 BULLE B CIRCULATION	194	39
DI_Zone_0001_0070	/DEF/DI/Closseur25614261851258/72	1	2	70	72	DI FERION R+2 BULLE B PASSERELLE	195	39
DI_Zone_0001_0071	/DEF/DI/Closseur25614261851258/77	1	2	71	77	DM FERION R+3 NOYAU CENTRAL	196	35
DI_Zone_0001_0072	/DEF/DI/Closseur25614261851258/102	1	2	72	102	DI FERION R+1 CCF NC	197	37
DI_Zone_0001_0073	/DEF/DI/Closseur25614261851258/70	1	2	73	70	DI FERION R+3 BULLE A PASSERELLE	198	42
DI_Zone_0001_0074	/DEF/DI/Closseur25614261851258/71	1	2	74	71	DI FERION R+3 BULLE A DEPOT	199	41
DI_Zone_0001_0075	/DEF/DI/Closseur25614261851258/70	1	2	75	70	DI FERION R+3 BULLE A CIRCULATION	200	42
DI_Zone_0001_0076	/DEF/DI/Closseur25614261851258/70	1	2	76	70	DI FERION R+3 BULLE A CIRCULATION	201	42
DI_Zone_0001_0077	/DEF/DI/Closseur25614261851258/77	1	2	77	77	DM FERION R+3 BULLE A CIRCULATION	202	35
DI_Zone_0001_0078	/DEF/DI/Closseur25614261851258/70	1	2	78	70	DI FERION R+3 BULLE A CIRCULATION	203	42
DI_Zone_0001_0079	/DEF/DI/Closseur25614261851258/70	1	2	79	70	DI FERION R+3 BULLE B CIRCULATION	204	42
DI_Zone_0001_0080	/DEF/DI/Closseur25614261851258/71	1	2	80	71	DI FERION R+3 BULLE B DEPOT	205	41
DI_Zone_0001_0081	/DEF/DI/Closseur25614261851258/69	1	2	81	69	DI FERION R+3 INTER2 BULLE B DEPOT	206	43
