Chubb/DI	Parameters	V/Tableau	V/Ligne	V/Adresse	V/RegistreBus	V/Libelle	V/NumZone	V/Octet	V/Boucle
DI_0001_0004_0080	/Chubb/DI/Chubb/Zone_31	1	4	80	37	PALIER NOYAU B	31	1	160
DI_0001_0004_0081	/Chubb/DI/Chubb/Zone_34	1	4	81	37	ARCHIVES 8B	34	2	161
DI_0001_0004_0082	/Chubb/DI/Chubb/Zone_34	1	4	82	38	ARCHIVES 8B	34	1	162
DI_0001_0004_0083	/Chubb/DI/Chubb/Zone_31	1	4	83	38	CIRCULATION NOYAU B	31	2	163
DI_0001_0004_0084	/Chubb/DI/Chubb/Zone_31	1	4	84	39	CIRCULATION NOYAU B	31	1	164
DI_0001_0003_0062	/Chubb/DI/Chubb/Zone_53	1	3	62	40	ARCHIVES 3A	53	1	86
DI_0001_0003_0063	/Chubb/DI/Chubb/Zone_51	1	3	63	40	PALIER NOYAU A	51	2	87
DI_0001_0003_0064	/Chubb/DI/Chubb/Zone_51	1	3	64	41	CIRCULATION CENTRALE	51	1	88
DI_0001_0005_0001	/Chubb/DI/Chubb/Zone_28	1	5	1	41	LOCAL TECHNIQUE NOYAU A	28	2	1
DI_0001_0005_0002	/Chubb/DI/Chubb/Zone_28	1	5	2	42	LOCAL VESTIAIRES NOYAU A	28	1	2
DI_0001_0005_0003	/Chubb/DI/Chubb/Zone_28	1	5	3	42	SAS SANITAIRES NOYAU A	28	2	3
DI_0001_0005_0004	/Chubb/DI/Chubb/Zone_27	1	5	4	43	PALIER NOYAU A	27	1	4
DI_0001_0005_0005	/Chubb/DI/Chubb/Zone_29	1	5	5	43	ARCHIVES A	29	2	5
DI_0001_0005_0006	/Chubb/DI/Chubb/Zone_29	1	5	6	44	ARCHIVES A	29	1	6
DI_0001_0005_0007	/Chubb/DI/Chubb/Zone_27	1	5	7	44	PALIER NOYAU A	27	2	7
DI_0001_0005_0008	/Chubb/DI/Chubb/Zone_27	1	5	8	45	CIRCULATION CENTRALE	27	1	8
DI_0001_0005_0009	/Chubb/DI/Chubb/Zone_27	1	5	9	45	CIRCULATION CENTRALE	27	2	9
DI_0001_0005_0011	/Chubb/DI/Chubb/Zone_27	1	5	11	46	PALIER NOYAU B	27	1	11
DI_0001_0005_0012	/Chubb/DI/Chubb/Zone_30	1	5	12	46	ARCHIVES 9B	30	2	12
DI_0001_0005_0013	/Chubb/DI/Chubb/Zone_30	1	5	13	47	ARCHIVES 9B	30	1	13
DI_0001_0005_0014	/Chubb/DI/Chubb/Zone_27	1	5	14	47	CIRCULATION NOYAU B	27	2	14
DI_0001_0005_0016	/Chubb/DI/Chubb/Zone_28	1	5	16	48	LOCAL TECHNIQUE NOYAU B	28	2	16
DI_0001_0005_0017	/Chubb/DI/Chubb/Zone_24	1	5	17	49	LOCAL TECHNIQUE NOYAU B	24	1	17
DI_0001_0005_0019	/Chubb/DI/Chubb/Zone_23	1	5	19	50	CIRCULATION NOYAU B	23	1	19
DI_0001_0005_0020	/Chubb/DI/Chubb/Zone_23	1	5	20	50	PALIER NOYAU B	23	2	20
DI_0001_0005_0021	/Chubb/DI/Chubb/Zone_26	1	5	21	51	ARCHIVES 10B	26	1	21
DI_0001_0005_0022	/Chubb/DI/Chubb/Zone_26	1	5	22	51	ARCHIVES 10B	26	2	22
DI_0001_0005_0023	/Chubb/DI/Chubb/Zone_23	1	5	23	52	CIRCULATION CENTRALE	23	1	23
DI_0001_0005_0072	/Chubb/DI/Chubb/Zone_24	1	5	72	52	SALLE DE REUNION NOYAU A	24	2	24
DI_0001_0005_0025	/Chubb/DI/Chubb/Zone_23	1	5	25	53	CIRCULATION CENTRALE	23	1	25
DI_0001_0005_0073	/Chubb/DI/Chubb/Zone_24	1	5	73	53	SALLE DE REUNION NOYAU A	24	2	26
