PROTOCOLO=91-EDP										
VERSION=MBS.1.0										
CAMPOS=11										
#	Type de données	Panel	Zona/Ctrl/Loop	Détecteur	EDP type	Panel Signal	Description	AddMB	E/S	Actif
105	0-Data	1	6	1	5-D		4203 RDC B.BAT.LOGIST P11	105	2-E/S	1-Oui
106	0-Data	1	6	2	5-D		4203 RDC BAT STOCK NORD	106	2-E/S	1-Oui
107	0-Data	1	6	3	5-D		4203 RDC BAT STOCK NORD	107	2-E/S	1-Oui
108	0-Data	1	6	4	5-D		4203 RDC ZONE CHARGE NORD	108	2-E/S	1-Oui
109	0-Data	1	6	5	5-D		4203 RDC ZONE CHARGE NORD	109	2-E/S	1-Oui
110	0-Data	1	6	6	5-D		4203 RDC AT.BAT ADM P012	110	2-E/S	1-Oui
111	0-Data	1	6	7	5-D		4203 RDC AT.BAT ADM P011	111	2-E/S	1-Oui
112	0-Data	1	6	8	5-D		4203 RDC BAT RESP P010	112	2-E/S	1-Oui
113	0-Data	1	7		4-Z		4203 RDC BUREAUX	113	2-E/S	1-Oui
114	0-Data	1	7	1	5-D		4203 RDC RECEPTION	114	2-E/S	1-Oui
115	0-Data	1	7	2	5-D		4203 RDC LOCAL INFO P041	115	2-E/S	1-Oui
116	0-Data	1	7	27	5-D		4203 RDC MACHINE M.C P002	116	2-E/S	1-Oui
117	0-Data	1	7	28	5-D		4203 RDC VEST.HOMMES P003	117	2-E/S	1-Oui
118	0-Data	1	7	29	5-D		4203 RDC VEST.HOMMES P003	118	2-E/S	1-Oui
119	0-Data	1	7	30	5-D		4203 RDC VEST.HOMMES P003	119	2-E/S	1-Oui
120	0-Data	1	7	4	5-D		4203 RDC VEST.FEMMES NORD	120	2-E/S	1-Oui
121	0-Data	1	7	6	5-D		4203 RDC ARCHIVES	121	2-E/S	1-Oui
122	0-Data	1	7	32	5-D		4203 RDC ARCHIVES	122	2-E/S	1-Oui
123	0-Data	1	7	14	5-D		4203 RDC CIRCUL BAT SUD	123	2-E/S	1-Oui
124	0-Data	1	7	5	5-D		4203 RDC ATELIER BAT. SUD	124	2-E/S	1-Oui
125	0-Data	1	7	8	5-D		4203 RDC ATELIER BAT. SUD	125	2-E/S	1-Oui
126	0-Data	1	7	9	5-D		4203 RDC ATELIER BAT. SUD	126	2-E/S	1-Oui
127	0-Data	1	7	10	5-D		4203 RDC ATELIER BAT. SUD	127	2-E/S	1-Oui
128	0-Data	1	7	16	5-D		4203 RDC ATELIER BAT. SUD	128	2-E/S	1-Oui
129	0-Data	1	7	17	5-D		4203 RDC ATELIER BAT. SUD	129	2-E/S	1-Oui
130	0-Data	1	7	19	5-D		4203 RDC SORBONE SUD P017	130	2-E/S	1-Oui
131	0-Data	1	7	18	5-D		4203 RDC BUREAU P018	131	2-E/S	1-Oui
132	0-Data	1	7	15	5-D		4203 RDC ESPACE COMM P016	132	2-E/S	1-Oui
133	0-Data	1	7	20	5-D		4203 RDC BUREAU SUD P019	133	2-E/S	1-Oui
134	0-Data	1	7	3	5-D		4203 RDC BUREAU SUD P019	134	2-E/S	1-Oui
135	0-Data	1	7	31	5-D		4203 RDC BUREAU SUD P020	135	2-E/S	1-Oui
136	0-Data	1	7	21	5-D		4203 RDC BUREAU SUD P020	136	2-E/S	1-Oui
137	0-Data	1	7	13	5-D		4203 RDC SAS CIRCUL CENTR	137	2-E/S	1-Oui
138	0-Data	1	7	12	5-D		4203 RDC VEST CENTRE P008	138	2-E/S	1-Oui
139	0-Data	1	7	7	5-D		4203 RDC LOCAL BATTERIE 7	139	2-E/S	1-Oui
140	0-Data	1	7	22	5-D		4203 RDC BUREAU SUD P021	140	2-E/S	1-Oui
141	0-Data	1	7	23	5-D		4203 RDC BUREAU SUD P022	141	2-E/S	1-Oui
142	0-Data	1	7	24	5-D		4203 RDC BUREAU SUD P024A	142	2-E/S	1-Oui
143	0-Data	1	7	25	5-D		4203 RDC BUREAU SUD P024B	143	2-E/S	1-Oui
144	0-Data	1	7	26	5-D		4203 RDC BUREAU SUD P023	144	2-E/S	1-Oui
145	0-Data	1	8		4-Z		4203 RDC BUREAUX	145	2-E/S	1-Oui
146	0-Data	1	8	4	5-D		4203 RDC COULOIR CENTRE	146	2-E/S	1-Oui
147	0-Data	1	8	5	5-D		4203 RDC COULOIR NORD	147	2-E/S	1-Oui
148	0-Data	1	8	6	5-D		4203 RDC COULOIR NORD	148	2-E/S	1-Oui
149	0-Data	1	8	2	5-D		4203 RDC COULOIR CENTRE	149	2-E/S	1-Oui
150	0-Data	1	8	3	5-D		4203 RDC COULOIR CENTRE	150	2-E/S	1-Oui
151	0-Data	1	8	1	5-D		4203 RDC COULOIR SUD	151	2-E/S	1-Oui
152	0-Data	1	9		4-Z		4203 DM RDC EVAC BATIMENT	152	2-E/S	1-Oui
153	0-Data	1	9	5	5-D		4203 RDC DM ENTREE NORD	153	2-E/S	1-Oui
154	0-Data	1	9	2	5-D		4203 RDC DM MAGASIN SUD	154	2-E/S	1-Oui
155	0-Data	1	9	1	5-D		4203 RDC DM MAGASIN NORD	155	2-E/S	1-Oui
156	0-Data	1	9	6	5-D		4203 RDC DM ENTREE NORD	156	2-E/S	1-Oui
157	0-Data	1	9	7	5-D		4203 RDC DM ENTRE BAT SUD	157	2-E/S	1-Oui
158	0-Data	1	9	3	5-D		4203 RDC DM CIRCUL BAT SU	158	2-E/S	1-Oui
159	0-Data	1	9	4	5-D		4203 RDC DM ENTREE SUD	159	2-E/S	1-Oui
160	0-Data	1	10		4-Z		4203 DM 1er EVAC BATIMEN	160	2-E/S	1-Oui
161	0-Data	1	10	1	5-D		4203 1er DM IS.SECOUR NOR	161	2-E/S	1-Oui
162	0-Data	1	10	9	5-D		4203 DM RDC L.T REAC NORD	162	2-E/S	1-Oui
163	0-Data	1	10	3	5-D		4203 DM EXPEDITION SUD	163	2-E/S	1-Oui
164	0-Data	1	10	4	5-D		4203 DM ENTREE OUEST	164	2-E/S	1-Oui
165	0-Data	1	10	8	5-D		4203 DM 1er ISSUE OUEST	165	2-E/S	1-Oui
166	0-Data	1	10	7	5-D		4203 DM 1er ESC. OUEST	166	2-E/S	1-Oui
167	0-Data	1	10	5	5-D		4203 DM EXPEDITION NORD	167	2-E/S	1-Oui
168	0-Data	1	10	6	5-D		4203 DM RDC FOSSE NETTOYA	168	2-E/S	1-Oui
169	0-Data	1	10	2	5-D		4203 1er DM CIRCULAT NORD	169	2-E/S	1-Oui
170	0-Data	1	11		4-Z		4203 Oi DANS BAIE RDC	170	2-E/S	1-Oui
171	0-Data	1	11	2	5-D		4203 Oi DANS BAIE RDC	171	2-E/S	1-Oui
172	0-Data	1	11	1	5-D		4203 Oi DANS BAIE RDC	172	2-E/S	1-Oui
173	0-Data	1	12		4-Z		4203 FAUX PLANCHER ATEC 1	173	2-E/S	1-Oui
174	0-Data	1	12	1	5-D		4203 FAUX PLANCHER ATEC 1	174	2-E/S	1-Oui
175	0-Data	1	12	2	5-D		4203 FAUX PLANCHER ATEC 1	175	2-E/S	1-Oui
176	0-Data	1	12	3	5-D		4203 FAUX PLANCHER ATEC 1	176	2-E/S	1-Oui
177	0-Data	1	12	4	5-D		4203 FAUX PLANCHER ATEC 1	177	2-E/S	1-Oui
178	0-Data	1	13		4-Z		4203 FAUX PLANCHER ATEC 2	178	2-E/S	1-Oui
179	0-Data	1	13	1	5-D		4203 FAUX PLANCHER ATEC 2	179	2-E/S	1-Oui
180	0-Data	1	13	2	5-D		4203 FAUX PLANCHER ATEC 2	180	2-E/S	1-Oui
181	0-Data	1	13	3	5-D		4203 FAUX PLANCHER ATEC 2	181	2-E/S	1-Oui
182	0-Data	1	13	4	5-D		4203 FAUX PLANCHER ATEC 2	182	2-E/S	1-Oui
183	0-Data	1	14		4-Z		4203 FAUX PLANCHER ATEC 3	183	2-E/S	1-Oui
184	0-Data	1	14	1	5-D		4203 FAUX PLANCHER ATEC 3	184	2-E/S	1-Oui
185	0-Data	1	14	2	5-D		4203 FAUX PLANCHER ATEC 3	185	2-E/S	1-Oui
186	0-Data	1	14	3	5-D		4203 FAUX PLANCHER ATEC 3	186	2-E/S	1-Oui
187	0-Data	1	14	4	5-D		4203 FAUX PLANCHER ATEC 3	187	2-E/S	1-Oui
188	0-Data	1	15		4-Z		4203 FAUX PLANCHER ATEC 4	188	2-E/S	1-Oui
189	0-Data	1	15	1	5-D		4203 FAUX PLANCHER ATEC 4	189	2-E/S	1-Oui
190	0-Data	1	15	2	5-D		4203 FAUX PLANCHER ATEC 4	190	2-E/S	1-Oui
191	0-Data	1	15	3	5-D		4203 FAUX PLANCHER ATEC 4	191	2-E/S	1-Oui
192	0-Data	1	15	4	5-D		4203 FAUX PLANCHER ATEC 4	192	2-E/S	1-Oui
193	0-Data	1	16		4-Z		4203 EVACUATION GENERAL	193	2-E/S	1-Oui
194	0-Data	1	17		4-Z		4203 RDC EV44 DFHS 16	194	2-E/S	1-Oui
195	0-Data	1	17	1	5-D		4203 RDC EV44 DFHS 16	195	2-E/S	1-Oui
196	0-Data	1	18		4-Z		4203 RDC DFHS 16 Alarme	196	2-E/S	1-Oui
197	0-Data	1	19		4-Z		4203 RDC DFHS Info Alarme	197	2-E/S	1-Oui
198	0-Data	1	20		4-Z		4203 RDC DFHS D‚rangement	198	2-E/S	1-Oui
199	0-Data	1	21		4-Z		4203 RDC DF Avertissement	199	2-E/S	1-Oui
200	0-Data	1	22		4-Z		4203 RDC ATELIER BAT.SUD	200	2-E/S	1-Oui
201	0-Data	1	22	1	5-D		4203 RDC ATELIER BAT.SUD	201	2-E/S	1-Oui
202	0-Data	1	24		4-Z		4203 CDE EVAC BUNGALOW	202	2-E/S	1-Oui
203	0-Data	1	29		4-Z		4203 1er DEFAUT ALIM VESD	203	2-E/S	1-Oui
204	0-Data	1	30		4-Z		4203 TEMPERATUR LOC ONDUL	204	2-E/S	1-Oui
205	0-Data	1	31		4-Z		4203 LIBRE SUR OI 3000	205	2-E/S	1-Oui
206	0-Data	1	32		4-Z		4203 RDC BUREAU	206	2-E/S	1-Oui
207	0-Data	1	32	1	5-D		4203 RDC RECEPTION 0.033	207	2-E/S	1-Oui
208	0-Data	1	32	2	5-D		4203 RDC RECEPTION 0.033	208	2-E/S	1-Oui
209	0-Data	1	32	3	5-D		4203 RDC BUREAU EV44 P31	209	2-E/S	1-Oui
210	0-Data	1	32	7	5-D		4203 RDC SORBONE P035	210	2-E/S	1-Oui
211	0-Data	1	32	4	5-D		4203 RDC BUREAU 20 0.031	211	2-E/S	1-Oui
212	0-Data	1	33		4-Z		4203 RDC BANC ITS EV44	212	2-E/S	1-Oui
213	0-Data	1	33	23	5-D		4203 RDC BANC ITS EV44 28	213	2-E/S	1-Oui
214	0-Data	1	33	24	5-D		4203 RDC BANC ITS EV44 28	214	2-E/S	1-Oui
215	0-Data	1	33	1	5-D		4203 RDC CLIMAT 0.45 bis	215	2-E/S	1-Oui
216	0-Data	1	33	2	5-D		4203 RDC BUREAU TECH 0.32	216	2-E/S	1-Oui
217	0-Data	1	33	3	5-D		4203 RDC BANC ITS EV44 28	217	2-E/S	1-Oui
218	0-Data	1	33	4	5-D		4203 RDC BANC ITS EV44 28	218	2-E/S	1-Oui
219	0-Data	1	33	5	5-D		4203 RDC BANC ITS EV44 28	219	2-E/S	1-Oui
220	0-Data	1	33	6	5-D		4203 RDC BANC ITS EV44 28	220	2-E/S	1-Oui
221	0-Data	1	33	7	5-D		4203 RDC BANC ITS EV44 28	221	2-E/S	1-Oui
222	0-Data	1	33	8	5-D		4203 RDC BANC ITS EV44 28	222	2-E/S	1-Oui
223	0-Data	1	33	9	5-D		4203 RDC BANC ITS EV44 28	223	2-E/S	1-Oui
224	0-Data	1	33	10	5-D		4203 RDC BANC ITS EV44 28	224	2-E/S	1-Oui
225	0-Data	1	33	22	5-D		4203 RDC BANC ITS EV44 28	225	2-E/S	1-Oui
226	0-Data	1	33	11	5-D		4203 RDC BANC ITS EV44 28	226	2-E/S	1-Oui
227	0-Data	1	33	12	5-D		4203 RDC BANC ITS EV44 28	227	2-E/S	1-Oui
228	0-Data	1	33	13	5-D		4203 RDC BANC ITS EV44 28	228	2-E/S	1-Oui
229	0-Data	1	33	14	5-D		4203 RDC BANC ITS EV44 28	229	2-E/S	1-Oui
230	0-Data	1	33	15	5-D		4203 RDC BANC ITS EV44 28	230	2-E/S	1-Oui
231	0-Data	1	33	16	5-D		4203 RDC BANC ITS EV44 28	231	2-E/S	1-Oui
232	0-Data	1	33	17	5-D		4203 RDC BANC ITS EV44 28	232	2-E/S	1-Oui
233	0-Data	1	33	18	5-D		4203 RDC BANC ITS EV44 28	233	2-E/S	1-Oui
234	0-Data	1	33	19	5-D		4203 RDC BANC ITS EV44 28	234	2-E/S	1-Oui
235	0-Data	1	33	20	5-D		4203 RDC BANC ITS EV44 28	235	2-E/S	1-Oui
236	0-Data	1	33	21	5-D		4203 RDC BANC ITS EV44 28	236	2-E/S	1-Oui
237	0-Data	1	33	25	5-D		4203 RDC CLIMAT 0.046	237	2-E/S	1-Oui
238	0-Data	1	34		4-Z		4203 RDC SALLE REUNION	238	2-E/S	1-Oui
239	0-Data	1	34	6	5-D		4203 RDC S.REUNION S 25	239	2-E/S	1-Oui
240	0-Data	1	34	8	5-D		4203 RDC S.REUNION S 25	240	2-E/S	1-Oui
241	0-Data	1	34	7	5-D		4203 RDC S.REUNION S 26	241	2-E/S	1-Oui
242	0-Data	1	34	2	5-D		4203 RDC S.REUNION SUD FP	242	2-E/S	1-Oui
243	0-Data	1	34	3	5-D		4203 RDC S.REUNION SUD FP	243	2-E/S	1-Oui
244	0-Data	1	34	4	5-D		4203 RDC REPARATION 0.030	244	2-E/S	1-Oui
245	0-Data	1	34	5	5-D		4203 RDC LOGISTIQUE 0.027	245	2-E/S	1-Oui
246	0-Data	1	36		4-Z		4203 RDC MAGASIN	246	2-E/S	1-Oui
247	0-Data	1	36	6	5-D		4203 RDC SAS MAGASIN	247	2-E/S	1-Oui
248	0-Data	1	36	3	5-D		4203 RDC MAGASIN	248	2-E/S	1-Oui
249	0-Data	1	36	7	5-D		4203 RDC MAGASIN	249	2-E/S	1-Oui
250	0-Data	1	36	8	5-D		4203 RDC MAGASIN	250	2-E/S	1-Oui
251	0-Data	1	36	1	5-D		4203 RDC MAGASIN	251	2-E/S	1-Oui
252	0-Data	1	36	2	5-D		4203 RDC MAGASIN	252	2-E/S	1-Oui
253	0-Data	1	36	9	5-D		4203 RDC MAGASIN	253	2-E/S	1-Oui
254	0-Data	1	36	10	5-D		4203 RDC MAGASIN	254	2-E/S	1-Oui
255	0-Data	1	36	4	5-D		4203 RDC MAGASIN	255	2-E/S	1-Oui
256	0-Data	1	36	5	5-D		4203 RDC MAGASIN	256	2-E/S	1-Oui
257	0-Data	1	37		4-Z		4203 1er SYSTEME ATEC 119	257	2-E/S	1-Oui
258	0-Data	1	37	1	5-D		4203 1er SYSTEME ATEC 119	258	2-E/S	1-Oui
259	0-Data	1	37	2	5-D		4203 1er SYSTEME ATEC 119	259	2-E/S	1-Oui
260	0-Data	1	37	3	5-D		4203 1er SYSTEME ATEC 119	260	2-E/S	1-Oui
261	0-Data	1	37	4	5-D		4203 1er SYSTEME ATEC 119	261	2-E/S	1-Oui
262	0-Data	1	37	5	5-D		4203 1er SYSTEME ATEC 119	262	2-E/S	1-Oui
263	0-Data	1	37	6	5-D		4203 1er SYSTEME ATEC 119	263	2-E/S	1-Oui
264	0-Data	1	37	7	5-D		4203 1er SYSTEME ATEC 119	264	2-E/S	1-Oui
265	0-Data	1	37	8	5-D		4203 1er STOCK GR 46 NORD	265	2-E/S	1-Oui
266	0-Data	1	40		4-Z		4203 LIBRE SUR OI 3000	266	2-E/S	1-Oui
267	0-Data	1	41		4-Z		4203 LIBRE SUR OI 3000	267	2-E/S	1-Oui
268	0-Data	1	42		4-Z		4203 LIBRE SUR OI 3000	268	2-E/S	1-Oui
269	0-Data	1	44		4-Z		Defaut PTI 4203	269	2-E/S	1-Oui
270	0-Data	1	45		4-Z		4203 LIBRE SUR OI 3000	270	2-E/S	1-Oui
271	0-Data	1	47		4-Z		4203 OI EVAC ES/AET	271	2-E/S	1-Oui
272	0-Data	1	47	1	5-D		4203 OI EVAC ES/AET	272	2-E/S	1-Oui
273	0-Data	1	350		4-Z		OI SALLE  ATEC	273	2-E/S	1-Oui
274	0-Data	1	350	1	5-D		DFHS 1er centrale CHUBB	274	2-E/S	1-Oui
275	0-Data	1	350	2	5-D		DFHS 1er centrale CHUBB	275	2-E/S	1-Oui
276	0-Data	1	350	3	5-D		DFHS 1er centrale CHUBB	276	2-E/S	1-Oui
277	0-Data	1	350	4	5-D		DFHS 1er centrale CHUBB	277	2-E/S	1-Oui
278	0-Data	1	350	5	5-D		DFHS 1er centrale CHUBB	278	2-E/S	1-Oui
279	0-Data	1	350	6	5-D		DFHS 1er centrale CHUBB	279	2-E/S	1-Oui
280	0-Data	1	350	7	5-D		DFHS 1er centrale CHUBB	280	2-E/S	1-Oui
281	0-Data	1	350	8	5-D		DFHS 1er centrale CHUBB	281	2-E/S	1-Oui
282	0-Data	1	351		4-Z		4203 1er ATEC DFHS 5	282	2-E/S	1-Oui
283	0-Data	1	352		4-Z		DGT DFHS 5	283	2-E/S	1-Oui
284	0-Data	1	353		4-Z		4203 1er ATEC  DFHS 6	284	2-E/S	1-Oui
285	0-Data	1	354		4-Z		4203 LIBRE	285	2-E/S	1-Oui
286	0-Data	1	355		4-Z		4203 1er ATEC  DFHS 7	286	2-E/S	1-Oui
