Esser/DI	Parameters	V/Numero	V/Panel	V/ZoneNum	V/Description	V/adress_MB
DI_ZD6_A2	/Esser/DI/EDP/Zone_6	2	1	6	4203 RDC BAT STOCK NORD	106
DI_ZD6_A3	/Esser/DI/EDP/Zone_6	3	1	6	4203 RDC BAT STOCK NORD	107
DI_ZD6_A4	/Esser/DI/EDP/Zone_6	4	1	6	4203 RDC ZONE CHARGE NORD	108
DI_ZD6_A5	/Esser/DI/EDP/Zone_6	5	1	6	4203 RDC ZONE CHARGE NORD	109
DI_ZD6_A6	/Esser/DI/EDP/Zone_6	6	1	6	4203 RDC AT.BAT ADM P012	110
DI_ZD6_A7	/Esser/DI/EDP/Zone_6	7	1	6	4203 RDC AT.BAT ADM P011	111
DI_ZD6_A8	/Esser/DI/EDP/Zone_6	8	1	6	4203 RDC BAT RESP P010	112
DI_ZD7_A1	/Esser/DI/EDP/Zone_7	1	1	7	4203 RDC RECEPTION	114
DI_ZD7_A2	/Esser/DI/EDP/Zone_7	2	1	7	4203 RDC LOCAL INFO P041	115
DI_ZD7_A27	/Esser/DI/EDP/Zone_7	27	1	7	4203 RDC MACHINE M.C P002	116
DI_ZD7_A28	/Esser/DI/EDP/Zone_7	28	1	7	4203 RDC VEST.HOMMES P003	117
DI_ZD7_A29	/Esser/DI/EDP/Zone_7	29	1	7	4203 RDC VEST.HOMMES P003	118
DI_ZD7_A30	/Esser/DI/EDP/Zone_7	30	1	7	4203 RDC VEST.HOMMES P003	119
DI_ZD7_A4	/Esser/DI/EDP/Zone_7	4	1	7	4203 RDC VEST.FEMMES NORD	120
DI_ZD7_A6	/Esser/DI/EDP/Zone_7	6	1	7	4203 RDC ARCHIVES	121
DI_ZD7_A32	/Esser/DI/EDP/Zone_7	32	1	7	4203 RDC ARCHIVES	122
DI_ZD7_A14	/Esser/DI/EDP/Zone_7	14	1	7	4203 RDC CIRCUL BAT SUD	123
DI_ZD12_A3	/Esser/DI/EDP/Zone_12	3	1	12	4203 FAUX PLANCHER ATEC 1	176
DI_ZD12_A4	/Esser/DI/EDP/Zone_12	4	1	12	4203 FAUX PLANCHER ATEC 1	177
DI_ZD13_A1	/Esser/DI/EDP/Zone_13	1	1	13	4203 FAUX PLANCHER ATEC 2	179
DI_ZD13_A2	/Esser/DI/EDP/Zone_13	2	1	13	4203 FAUX PLANCHER ATEC 2	180
DI_ZD13_A3	/Esser/DI/EDP/Zone_13	3	1	13	4203 FAUX PLANCHER ATEC 2	181
DI_ZD13_A4	/Esser/DI/EDP/Zone_13	4	1	13	4203 FAUX PLANCHER ATEC 2	182
DI_ZD14_A1	/Esser/DI/EDP/Zone_14	1	1	14	4203 FAUX PLANCHER ATEC 3	184
DI_ZD14_A2	/Esser/DI/EDP/Zone_14	2	1	14	4203 FAUX PLANCHER ATEC 3	185
DI_ZD14_A3	/Esser/DI/EDP/Zone_14	3	1	14	4203 FAUX PLANCHER ATEC 3	186
DI_ZD14_A4	/Esser/DI/EDP/Zone_14	4	1	14	4203 FAUX PLANCHER ATEC 3	187
DI_ZD15_A1	/Esser/DI/EDP/Zone_15	1	1	15	4203 FAUX PLANCHER ATEC 4	189
DI_ZD15_A2	/Esser/DI/EDP/Zone_15	2	1	15	4203 FAUX PLANCHER ATEC 4	190
DI_ZD15_A3	/Esser/DI/EDP/Zone_15	3	1	15	4203 FAUX PLANCHER ATEC 4	191
DI_ZD15_A4	/Esser/DI/EDP/Zone_15	4	1	15	4203 FAUX PLANCHER ATEC 4	192
DI_ZD17_A1	/Esser/DI/EDP/Zone_17	1	1	17	4203 RDC EV44 DFHS 16	195
DI_ZD22_A1	/Esser/DI/EDP/Zone_22	1	1	22	4203 RDC ATELIER BAT.SUD	201
DI_ZD32_A1	/Esser/DI/EDP/Zone_32	1	1	32	4203 RDC RECEPTION 0.033	207
DI_ZD32_A2	/Esser/DI/EDP/Zone_32	2	1	32	4203 RDC RECEPTION 0.033	208
DI_ZD32_A3	/Esser/DI/EDP/Zone_32	3	1	32	4203 RDC BUREAU EV44 P31	209
DI_ZD32_A7	/Esser/DI/EDP/Zone_32	7	1	32	4203 RDC SORBONE P035	210
DI_ZD32_A4	/Esser/DI/EDP/Zone_32	4	1	32	4203 RDC BUREAU 20 0.031	211
DI_ZD33_A23	/Esser/DI/EDP/Zone_33	23	1	33	4203 RDC BANC ITS EV44 28	213
DI_ZD33_A24	/Esser/DI/EDP/Zone_33	24	1	33	4203 RDC BANC ITS EV44 28	214
DI_ZD33_A1	/Esser/DI/EDP/Zone_33	1	1	33	4203 RDC CLIMAT 0.45 bis	215
DI_ZD33_A2	/Esser/DI/EDP/Zone_33	2	1	33	4203 RDC BUREAU TECH 0.32	216
DI_ZD33_A3	/Esser/DI/EDP/Zone_33	3	1	33	4203 RDC BANC ITS EV44 28	217
DI_ZD33_A4	/Esser/DI/EDP/Zone_33	4	1	33	4203 RDC BANC ITS EV44 28	218
DI_ZD33_A5	/Esser/DI/EDP/Zone_33	5	1	33	4203 RDC BANC ITS EV44 28	219
DI_ZD33_A6	/Esser/DI/EDP/Zone_33	6	1	33	4203 RDC BANC ITS EV44 28	220
DI_ZD33_A7	/Esser/DI/EDP/Zone_33	7	1	33	4203 RDC BANC ITS EV44 28	221
DI_ZD33_A8	/Esser/DI/EDP/Zone_33	8	1	33	4203 RDC BANC ITS EV44 28	222
DI_ZD33_A9	/Esser/DI/EDP/Zone_33	9	1	33	4203 RDC BANC ITS EV44 28	223
DI_ZD33_A10	/Esser/DI/EDP/Zone_33	10	1	33	4203 RDC BANC ITS EV44 28	224
DI_ZD33_A22	/Esser/DI/EDP/Zone_33	22	1	33	4203 RDC BANC ITS EV44 28	225
