DEF/DI	Parametres	V/Adresse	V/Libelle	V/Ligne	V/Module
DAS_2_1_24	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF2	24	DM M.DES.M R-1 BULLE B NOYAU CENTRAL	1	2
DAS_2_1_25	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	25	DI M.DES.M R-1 NOYAU CENTRAL ARCHIVES	1	2
DAS_2_1_26	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	26	DI M.DES.M R-1 BULLE B CIRCULATION	1	2
DAS_2_1_27	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	27	DI M.DES.M R-1 DEPOT 7	1	2
DAS_2_1_28	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	28	DI M.DES.M R-1 DEPOT 8	1	2
DAS_2_1_29	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	29	DI M.DES.M R-1 DEPOT D.D.A.F.	1	2
DAS_2_1_30	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	30	DI M.DES.M R-1 DEPOT D.D.A.F.	1	2
DAS_2_1_31	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	31	DI M.DES.M R-1 DEPOT D.D.A.F.	1	2
DAS_2_1_32	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	32	DI M.DES.M R-1 DEPOT D.D.A.F.	1	2
DAS_2_1_33	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	33	DI M.DES.M R-1 NOYAU CENTRAL PROD FROID	1	2
DAS_2_1_34	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	34	DI M.DES.M R-1 NOYAU CENTRAL PROD FROID	1	2
DAS_2_1_35	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	35	DI M.DES.M R-1 PARKING 34/35	1	2
DAS_2_1_36	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	36	DI M.DES.M R-1 PARKING 37	1	2
DAS_2_1_37	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	37	DI M.DES.M R-1 BULLE A NOYAU CENT. DEPO5	1	2
DAS_2_1_38	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	38	DI M.DES.M R-1 BULLE A NOYAU CENT. DEPO6	1	2
DAS_2_1_39	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF2	39	DM M.DES.M R-1 BULLE A NOYAU CENTRAL	1	2
DAS_2_1_40	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	40	DI M.DES.M R-1 PARKING 32/33	1	2
DAS_2_1_41	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	41	DI M.DES.M R-1 PARKING 30/31	1	2
DAS_2_1_42	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	42	DI M.DES.M R-1 PARKING 28	1	2
DAS_2_1_43	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	43	DI M.DES.M R-1 PARKING 25/26	1	2
DAS_2_1_44	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	44	DI M.DES.M R-1 PARKING 23/24	1	2
DAS_2_1_45	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	45	DI M.DES.M R-1 PARKING 21/22	1	2
DAS_2_1_46	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	46	DI M.DES.M R-1 PARKING 19	1	2
DAS_2_1_47	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	47	DI M.DES.M R-1 BULLE C NOYAU CENT. DEPO3	1	2
DAS_2_1_48	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	48	DI M.DES.M R-1 BULLE C NOYAU CENT. DEPO4	1	2
DAS_2_1_49	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	49	DI M.DES.M R-1 PARKING 68	1	2
DAS_2_1_50	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	50	DI M.DES.M R-1 PARKING 71	1	2
DAS_2_1_51	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	51	DI M.DES.M R-1 PARKING 74	1	2
DAS_2_1_52	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	52	DI M.DES.M R-1 PARKING 77	1	2
DAS_2_1_53	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	53	DI M.DES.M R-1 PARKING 59/60	1	2
DAS_2_1_54	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	54	DI M.DES.M R-1 PARKING 57/58	1	2
