Chubb/FUNCTION	Parameters	V/Numero	V/Type	V/Adressemodbus	V/Libelle
FONCTION_0104	/Chubb/FONCTION/Chubb	104	Extrac canton	103	SOUFFLAGE SAS A R-2/19 PV
FONCTION_0105	/Chubb/FONCTION/Chubb	105	Arrêt moteur	104	A.P Ext. CHC NOYAU A
FONCTION_0106	/Chubb/FONCTION/Chubb	106	Arrêt moteur	105	A.P SOUFF. ESC.A R-2/RDC
FONCTION_0107	/Chubb/FONCTION/Chubb	107	Arrêt moteur	106	A.P SOUFF. ESC.A RDC/19
FONCTION_0108	/Chubb/FONCTION/Chubb	108	Arrêt moteur	107	A.P SOUFF. SAS A R-2/19
FONCTION_0109	/Chubb/FONCTION/Chubb	109	Arrêt moteur	108	A.P PO PK13
FONCTION_0110	/Chubb/FONCTION/Chubb	110		109	Fonction x
FONCTION_0111	/Chubb/FONCTION/Chubb	111	Compartimentage	110	CCF TERRASSE A
FONCTION_0112	/Chubb/FONCTION/Chubb	112	Compartimentage	111	CCF TERRASSE B
FONCTION_0113	/Chubb/FONCTION/Chubb	113	Extrac canton	112	Extracteur CHC NOYAU B
FONCTION_0114	/Chubb/FONCTION/Chubb	114	Extrac canton	113	SOUFFLAGE ESC.B R-2/RDC
FONCTION_0115	/Chubb/FONCTION/Chubb	115	Extrac canton	114	SOUFFLAGE ESC.B RDC/19TER
FONCTION_0116	/Chubb/FONCTION/Chubb	116	Extrac canton	115	SOUFFLAGE SAS B R-2/19TER
FONCTION_0117	/Chubb/FONCTION/Chubb	117		116	Fonction x
FONCTION_0118	/Chubb/FONCTION/Chubb	118		117	Fonction x
FONCTION_0119	/Chubb/FONCTION/Chubb	119	Extrac canton	118	Extracteur CHC NOYAU B PV
FONCTION_0120	/Chubb/FONCTION/Chubb	120	Extrac canton	119	SOUFFLAGE SAS B R-2/19 PV
FONCTION_0121	/Chubb/FONCTION/Chubb	121	Arrêt moteur	120	A.P Ext. CHC NOYAU B
FONCTION_0122	/Chubb/FONCTION/Chubb	122	Arrêt moteur	121	A.P SOUFF. ESC.B R-2/RDC
FONCTION_0123	/Chubb/FONCTION/Chubb	123	Arrêt moteur	122	A.P SOUFF. ESC.B RDC/19
FONCTION_0124	/Chubb/FONCTION/Chubb	124	Arrêt moteur	123	A.P SOUFF. SAS B R-2/19
FONCTION_0125	/Chubb/FONCTION/Chubb	125		124	Fonction x
FONCTION_0126	/Chubb/FONCTION/Chubb	126		125	Fonction x
FONCTION_0127	/Chubb/FONCTION/Chubb	127		126	Fonction x
FONCTION_0128	/Chubb/FONCTION/Chubb	128	Réarm. DAS motorisé	127	REARMEMENT MOTEUR DSF
FONCTION_0129	/Chubb/FONCTION/Chubb	129		128	Fonction x
FONCTION_0130	/Chubb/FONCTION/Chubb	130	Désenfumage	129	EXTINCTION -1 LOC PAPIER
FONCTION_0131	/Chubb/FONCTION/Chubb	131	Désenfumage	130	EXTINCTION 1 INT B
FONCTION_0132	/Chubb/FONCTION/Chubb	132	Désenfumage	131	EXTINCTION 2 INT A
FONCTION_0133	/Chubb/FONCTION/Chubb	133	Désenfumage	132	EXTINCTION 2 INT B
FONCTION_0134	/Chubb/FONCTION/Chubb	134	Désenfumage	133	EXTINCTION 1A
FONCTION_0135	/Chubb/FONCTION/Chubb	135	Désenfumage	134	EXTINCTION 1B
FONCTION_0136	/Chubb/FONCTION/Chubb	136	Désenfumage	135	EXTINCTION 2A
FONCTION_0137	/Chubb/FONCTION/Chubb	137	Désenfumage	136	EXTINCTION 2B
FONCTION_0138	/Chubb/FONCTION/Chubb	138	Désenfumage	137	EXTINCTION 3A
FONCTION_0139	/Chubb/FONCTION/Chubb	139	Désenfumage	138	EXTINCTION 3B
FONCTION_0140	/Chubb/FONCTION/Chubb	140	Désenfumage	139	EXTINCTION 4A
FONCTION_0141	/Chubb/FONCTION/Chubb	141	Désenfumage	140	EXTINCTION 4B
FONCTION_0142	/Chubb/FONCTION/Chubb	142	Désenfumage	141	EXTINCTION 5A
FONCTION_0143	/Chubb/FONCTION/Chubb	143	Désenfumage	142	EXTINCTION 5B
FONCTION_0144	/Chubb/FONCTION/Chubb	144	Désenfumage	143	EXTINCTION 6A
FONCTION_0145	/Chubb/FONCTION/Chubb	145	Désenfumage	144	EXTINCTION 6B
FONCTION_0146	/Chubb/FONCTION/Chubb	146	Désenfumage	145	EXTINCTION 7A
FONCTION_0147	/Chubb/FONCTION/Chubb	147	Désenfumage	146	EXTINCTION 7B
FONCTION_0148	/Chubb/FONCTION/Chubb	148	Désenfumage	147	EXTINCTION 8A
FONCTION_0149	/Chubb/FONCTION/Chubb	149	Désenfumage	148	EXTINCTION 8B
FONCTION_0150	/Chubb/FONCTION/Chubb	150	Désenfumage	149	EXTINCTION 9B
FONCTION_0151	/Chubb/FONCTION/Chubb	151	Désenfumage	150	EXTINCTION 10A
FONCTION_0152	/Chubb/FONCTION/Chubb	152	Désenfumage	151	EXTINCTION 10B
FONCTION_0153	/Chubb/FONCTION/Chubb	153	Désenfumage	152	EXTINCTION 11A
FONCTION_0154	/Chubb/FONCTION/Chubb	154	Désenfumage	153	EXTINCTION 11B
FONCTION_0155	/Chubb/FONCTION/Chubb	155	Désenfumage	154	EXTINCTION 12A
FONCTION_0156	/Chubb/FONCTION/Chubb	156	Désenfumage	155	EXTINCTION 12B
FONCTION_0157	/Chubb/FONCTION/Chubb	157		156	Fonction x
FONCTION_0158	/Chubb/FONCTION/Chubb	158	Désenfumage	157	EXTINCTION 13B
FONCTION_0159	/Chubb/FONCTION/Chubb	159	Désenfumage	158	EXTINCTION 14A
FONCTION_0160	/Chubb/FONCTION/Chubb	160	Désenfumage	159	EXTINCTION 14B
FONCTION_0161	/Chubb/FONCTION/Chubb	161	Evacuation ERP	160	ZA PKN
FONCTION_0162	/Chubb/FONCTION/Chubb	162		161	Fonction x
FONCTION_0163	/Chubb/FONCTION/Chubb	163		162	Fonction x
FONCTION_0164	/Chubb/FONCTION/Chubb	164		163	Fonction x
FONCTION_0165	/Chubb/FONCTION/Chubb	165		164	Fonction x
FONCTION_0166	/Chubb/FONCTION/Chubb	166		165	Fonction x
FONCTION_0167	/Chubb/FONCTION/Chubb	167		166	Fonction x
FONCTION_0168	/Chubb/FONCTION/Chubb	168		167	Fonction x
FONCTION_0169	/Chubb/FONCTION/Chubb	169		168	Fonction x
FONCTION_0170	/Chubb/FONCTION/Chubb	170	Issue Secours	169	ISSUES DE SECOURS
