DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_0001_0001_0081	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_3	1	1	81	3	DI_PELA_R_2_CIRCULATION_	81	95
DI_0001_0001_0082	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_3	1	1	82	3	DI_PELA_R_2_CIRCULATION_	82	95
DI_0001_0001_0083	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	83	100	CCF_PELA_R_3_CIRCULATION_	83	9
DI_0001_0001_0084	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_3	1	1	84	3	DI_PELA_R_2_CIRCULATION_	84	95
DI_0001_0001_0085	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_11	1	1	85	11	DM_PELA_R_2_CIRCULATION_	85	94
DI_0001_0001_0086	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_1	1	1	86	1	DI_PELA_R_3_CIRCULATION_	86	96
DI_0001_0001_0087	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_2	1	1	87	2	DI_PELA_R_3_LOCAL_MENAGE_	87	97
DI_0001_0001_0088	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_1	1	1	88	1	DI_PELA_R_3_CIRCULATION_	88	96
DI_0001_0001_0089	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_1	1	1	89	1	DI_PELA_R_3_CIRCULATION_	89	96
DI_0001_0001_0090	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_11	1	1	90	11	DM_PELA_R_3_CIRCULATION_	90	94
DI_0001_0001_0091	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_94	1	1	91	94	DM_PELA_R_1_CIRCUL_ACCES_MACH_ASC	91	2
DI_0001_0001_0092	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	92	93	DI_PELA_R_1_DEPOT_5	92	3
DI_0001_0001_0093	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	93	93	DI_PELA_R_1_DEPOT_5	93	3
DI_0001_0001_0094	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	94	93	DI_PELA_R_1_LOCAL_TECHNIQUE_MACH_ASC_	94	3
DI_0001_0001_0095	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	95	93	DI_PELA_R_1_DEPOT_6	95	3
DI_0001_0001_0096	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	96	93	DI_PELA_R_1_LOCAL_SATESE	96	3
DI_0001_0001_0097	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_91	1	1	97	91	DI_PELA_R_1_PARKING_8	97	24
DI_0001_0001_0098	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_91	1	1	98	91	DI_PELA_R_1_PARKING_5	98	24
DI_0001_0001_0099	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	99	93	DI_PELA_R_1_SOUS_STATION	99	3
DI_0001_0001_0100	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	100	93	DI_PELA_R_1_LOCAL_2_ROUES__PAR_GAL_TECH_	100	3
DI_0001_0001_0101	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_94	1	1	101	94	DM_PELA_R_1_LOC_2_ROUES__PAR_NOYAU_CENT_	101	2
DI_0001_0001_0102	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	102	48	DI_AUTHION_RDC_VTP_SSI_HALL_ACCUEIL	102	15
DI_0001_0001_0103	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	103	100	CCF_PELA_RDC_HALL	103	9
DI_0001_0001_0104	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	104	48	DI__AUTHION_RDC_POSTE_DE_POLICE	104	15
DI_0001_0001_0106	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_201	1	1	106	201	CCF_AUTHION_RDC_CIRCULATION_OUEST	106	127
DI_0001_0001_0107	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	107	100	CCF_R_2_PELA_CIRCULATION_	107	9
DI_0001_0001_0108	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	108	10	PELA_RDC_LOCAL_TECHNIQUE_VDI	108	5
DI_0001_0001_0109	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	109	100	CCF_R_1_PELA_CIRCULATION_	109	9
DI_0001_0001_0110	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_4	1	1	110	4	DI_PELA_2EME_Bureau_203	110	124
DI_0001_0001_0111	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_4	1	1	111	4	DI_PELA_2EME_BUREAU_204	111	124
DI_0001_0002_0001	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_190	1	2	1	190	DI_FERION_R_1_CIRCUL__ACCES_CHAUFFERIE	126	84
DI_0001_0002_0002	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_67	1	2	2	67	DI_FERION_R_4_LOCAL_MENAGE	127	87
DI_0001_0002_0003	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_102	1	2	3	102	DI_FERION_R_5_CCF_NC	128	37
DI_0001_0002_0004	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_102	1	2	4	102	FERION_R_5_CCF_BULLE_B	129	37
DI_0001_0002_0005	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_102	1	2	5	102	FERION_R_6_CCF_NC	130	37
DI_0001_0002_0006	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_62	1	2	6	62	_FERION_R_6_BULLE_B_CIRCULATION	131	86
DI_0001_0002_0007	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_62	1	2	7	62	DI_FERION_R_6_BULLE_B_CIRCULATION	132	86
DI_0001_0002_0008	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_77	1	2	8	77	DM_FERION_BULLE_B_R_6_CIRCULATION	133	35
DI_0001_0002_0009	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_62	1	2	9	62	DI_FERION_R_6_BULLE_B_CIRCULATION	134	86
DI_0001_0002_0010	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_102	1	2	10	102	FERION_R_6_CCF_BULLE_B	135	37
DI_0001_0002_0011	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_79	1	2	11	79	DI_FERION_RDC_BULLE_A_CIRCULATION_SUD	136	28
DI_0001_0002_0012	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_79	1	2	12	79	DI_FERION_RDC_BULLE_C_CIRCULATION_SUD	137	28
DI_0001_0002_0013	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_79	1	2	13	79	DI_FERION_RDC_BULLE_C_CIRCUL__SUD_EST	138	28
DI_0001_0002_0014	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_82	1	2	14	82	DM_FERION_RDC_BULLE_C_CIRCUL__SUD_EST	139	29
DI_0001_0002_0015	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_79	1	2	15	79	DI_FERION_RDC_BULLE_C_CIRCUL__SUD_EST	140	28
DI_0001_0002_0016	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_79	1	2	16	79	DI_FERION_RDC_BULLE_A_CIRCULATION_EST	141	28
DI_0001_0002_0017	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	17	78	DI_FERION_RDC_BULLE_A_CIRCUL__NORD_EST	142	30
DI_0001_0002_0018	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_81	1	2	18	81	DI_FERION_RDC_BULLE_A_ARCHIVES_NORD_EST	143	31
DI_0001_0002_0019	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	19	78	DI_FERION_RDC_BULLE_A_CIRCULATION_NORD	144	30
DI_0001_0002_0020	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	20	78	DI_FERION_RDC_BULLE_A_CIRCULATION_NORD	145	30
DI_0001_0002_0021	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	21	78	DI_FERION_RDC_BULLE_A_CIRCULATION_OUEST	146	30
DI_0001_0002_0022	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_76	1	2	22	76	DI_FERION_R_1_INT_BULLE_B_DEPOT	147	32
DI_0001_0002_0023	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	23	78	DI_FERION_RDC_HALL_ACCES_PRINCIPAL	148	30
DI_0001_0002_0024	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_82	1	2	24	82	DM_FERION_RDC_HALL_ACCES_PRINCIPAL	149	29
DI_0001_0002_0025	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_81	1	2	25	81	DI_FERION_RDC_BULLE_A_TGBTD	150	31
DI_0001_0002_0026	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	26	78	DI_FERION_RDC_BULLE_A_HALL_ACCUEIL	151	30
DI_0001_0002_0027	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_102	1	2	27	102	DI_FERION_CCF_BULLE_A	152	37
DI_0001_0002_0028	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_64	1	2	28	64	DI_FERION_R_5_BULLE_B	153	46
DI_0001_0002_0029	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	29	78	DI_FERION_RDC_BULLE_A_HALL_ACCUEIL	154	30
